name,DateMonth,DateDay,DateYear,,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,stations
"Tequila, Mexico",12,11,2021,,79.8,44.5,62.3,79.8,44.5,62.3,41.9,51.1,0,0,0,,,7.6,350.7,1017.1,70.4,8.9,194.7,16.7,7,,2021-12-11T07:22:18,2021-12-11T18:15:23,0.25,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,12,2021,,79.2,45.8,62.1,79.2,44.4,61.9,44.4,56.8,0,0,0,,,7.2,124,1018.7,26.1,8,202.6,17.5,8,,2021-12-12T07:22:54,2021-12-12T18:15:43,0.28,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,13,2021,,80,46.3,64,80,46.3,64,45.5,56.1,0,0,0,,,6.7,341,1020.5,43.3,7.1,183.4,15.9,7,,2021-12-13T07:23:30,2021-12-13T18:16:04,0.32,Partially cloudy,Becoming cloudy in the afternoon.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,14,2021,,81.6,44.5,64,80.8,44.5,63.9,44.3,53,0,0,0,,,8.5,39.2,1019.4,49.9,7.1,198.3,17.1,8,,2021-12-14T07:24:05,2021-12-14T18:16:27,0.35,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,15,2021,,80.1,46.3,62.8,79.6,46.3,62.7,45.2,56.6,0,0,0,,,5.1,46.8,1019.1,26.8,7.6,185.4,15.9,8,,2021-12-15T07:24:39,2021-12-15T18:16:51,0.38,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,16,2021,,81.1,44.7,64.5,79.5,44.7,64.3,45.2,53.6,0,0,0,,,8.9,322.6,1015.1,31.8,7.5,197.4,17.2,8,,2021-12-16T07:25:13,2021-12-16T18:17:16,0.42,Partially cloudy,Becoming cloudy in the afternoon.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,17,2021,,77.6,48.8,63.4,77.6,48.8,63.4,47.2,58.5,0,0,0,,,6.7,274.1,1016.5,57.3,7.8,158.8,13.8,6,,2021-12-17T07:25:46,2021-12-17T18:17:41,0.45,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,18,2021,,77.6,44.5,61.2,77.6,44.5,61.2,47.7,64.8,0,0,0,,,8.9,263.7,1018.5,79.5,7.3,144.5,12.3,7,,2021-12-18T07:26:19,2021-12-18T18:18:08,0.5,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76612099999,remote,F6804"
"Tequila, Mexico",12,19,2021,,68.6,54.2,60.6,68.6,54.2,60.6,51.8,73.6,0.035,100,4.17,rain,,7.4,177.8,1017.3,68.6,7,86.3,7.5,4,,2021-12-19T07:26:51,2021-12-19T18:18:36,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,20,2021,,77.1,44.5,60.1,77.1,44.5,60.1,47.6,68,0,0,0,,,5.9,39.8,1019,56.3,6.5,180.6,15.8,8,,2021-12-20T07:27:22,2021-12-20T18:19:05,0.55,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,21,2021,,78.5,42.7,60.6,78.5,41.3,60.4,39.3,51.2,0,0,0,,,8.5,54.6,1019.7,26.8,7.9,202.4,17.6,8,,2021-12-21T07:27:52,2021-12-21T18:19:34,0.59,Partially cloudy,Clearing in the afternoon.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,22,2021,,80,40.4,59.8,80,38.9,59.3,32.7,42.5,0,0,0,,,8.9,69.2,1017.2,2.1,8,221.9,19.2,8,,2021-12-22T07:28:21,2021-12-22T18:20:05,0.62,Clear,Clear conditions throughout the day.,"MMGL,76612099999,remote,F6804"
"Tequila, Mexico",12,23,2021,,81.8,42.9,62.9,79.5,42.9,62.5,35.5,41.5,0,0,0,,,5.1,50.2,1018.1,2,7.1,211.5,18.5,7,,2021-12-23T07:28:50,2021-12-23T18:20:36,0.66,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,24,2021,,83.2,42.7,62,80.6,42.7,61.8,39.1,48.2,0,0,0,,,8.9,306.5,1019.5,0.5,8.3,206.3,17.9,7,,2021-12-24T07:29:18,2021-12-24T18:21:08,0.69,Clear,Clear conditions throughout the day.,"MMGL,76612099999,remote,F6804"
"Tequila, Mexico",12,25,2021,,83.4,46.5,64.5,80.8,46.5,64.1,41.2,46.7,0,0,0,,,4.9,348.2,1015.2,2.6,7.9,211.3,18.3,8,,2021-12-25T07:29:44,2021-12-25T18:21:41,0.72,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,26,2021,,83.4,44.5,64.2,80.7,44.5,63.8,40.5,47,0,0,0,,,5.4,117.5,1015.8,43.6,8.4,221.9,19.2,8,,2021-12-26T07:30:10,2021-12-26T18:22:15,0.75,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,27,2021,,81.2,46.5,63.1,79.7,46.5,63,46.6,60.6,0,0,0,,,5.8,279.3,1015.3,4.4,7.6,203.1,17.4,8,,2021-12-27T07:30:35,2021-12-27T18:22:49,0.79,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,28,2021,,78.9,42.7,62.2,78.9,42.7,62.2,50.7,70.8,0,0,0,,,10.1,258.9,1014.4,19.4,7.9,194.9,16.8,8,,2021-12-28T07:30:59,2021-12-28T18:23:24,0.83,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,29,2021,,76.9,44.7,60.4,76.9,42.2,60.3,46.4,65.6,0,0,0,,,6.7,245,1015.2,23.4,7.3,185.5,15.9,8,,2021-12-29T07:31:22,2021-12-29T18:24:00,0.86,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,30,2021,,78.5,44.5,61.3,78.5,44.5,61.2,45.6,60.8,0,0,0,,,6.5,199.3,1016.1,17.5,8.1,209.7,18.2,8,,2021-12-30T07:31:43,2021-12-30T18:24:36,0.9,Clear,Clear conditions throughout the day.,"MMGL,76612099999,remote,F6804"
"Tequila, Mexico",12,31,2021,,79.8,47.6,62.8,79.8,47.6,62.8,44.4,57.5,0,0,0,,,10.1,240,1015.9,12,9.1,213.7,18.6,8,,2021-12-31T07:32:04,2021-12-31T18:25:13,0.93,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,1,2022,,77.3,44.7,60.4,77.3,44.7,60.4,45.7,64.1,0,0,0,,,10.3,294.4,1016.1,8.3,7.5,176.8,15.4,7,,2022-01-01T07:32:24,2022-01-01T18:25:50,0.96,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,2,2022,,80.7,46.5,60.8,80,45.1,60.6,39.2,52.5,0,0,0,,,8.1,31.7,1017.2,0.1,8.7,206.7,18,7,,2022-01-02T07:32:42,2022-01-02T18:26:28,0,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,3,2022,,78,44.3,59.4,78,42.5,59.1,43.1,56.5,0,0,0,,,7.8,68.4,1019.4,10,7.9,193.7,16.7,7,,2022-01-03T07:32:59,2022-01-03T18:27:06,0.03,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,4,2022,,82.8,44.7,63.4,80.5,44.7,63.2,44.4,56,0,0,0,,,5.8,298,1017,9.7,8.8,202.5,17.7,8,,2022-01-04T07:33:15,2022-01-04T18:27:45,0.06,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,5,2022,,80.8,42.7,63,79,42.7,62.8,40.3,50.9,0,0,0,,,19.7,288.9,1016.2,38.8,8.2,209.3,18.4,8,,2022-01-05T07:33:30,2022-01-05T18:28:24,0.1,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,F0749,76612099999,remote,F6804"
"Tequila, Mexico",1,6,2022,,82.5,42.7,62.9,80,42.7,62.6,33.9,39.1,0,0,0,,,11.4,272.4,1014.2,2.4,8.4,207.7,18,8,,2022-01-06T07:33:44,2022-01-06T18:29:03,0.13,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,7,2022,,81.9,40.9,62.8,79.8,40.9,62.6,36.4,42.1,0,0,0,,,6.9,244.3,1015.9,18.8,8.4,215.5,18.6,7,,2022-01-07T07:33:56,2022-01-07T18:29:43,0.16,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,8,2022,,80,44.7,62.3,80,44.7,62.3,38.7,49.7,0,0,0,,,10.3,274.9,1018.1,60.4,8.5,177.1,15.4,7,,2022-01-08T07:34:07,2022-01-08T18:30:23,0.2,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,9,2022,,79.8,39.1,61,79.8,39.1,61,32.6,40.2,0,0,0,,,8.1,305.7,1022.1,31.1,7.7,193.5,16.8,7,,2022-01-09T07:34:17,2022-01-09T18:31:03,0.25,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,10,2022,,77.9,44.7,63.1,77.9,44.7,63.1,37.7,41.6,0,0,0,,9.6,11.4,72.7,1018.4,83.3,8.3,141.2,12.4,6,10,2022-01-10T07:34:26,2022-01-10T18:31:43,0.26,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,11,2022,,76.9,53.5,63.3,76.9,53.5,63.3,44.3,51.6,0,0,0,,20.1,8.1,68.3,1020.7,78,11,211.8,18.2,8,10,2022-01-11T07:34:33,2022-01-11T18:32:24,0.29,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,12,2022,,77.4,44.7,62.7,77.4,44.7,62.7,42.6,52,0,0,0,,6.7,5.9,273.3,1019.6,80.3,11.3,176.9,15.4,7,10,2022-01-12T07:34:39,2022-01-12T18:33:04,0.33,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,13,2022,,80.1,48.1,63.4,78.9,48.1,63.3,39.5,47.9,0,0,0,,9.6,6.8,349.6,1018.8,34.2,10,188.2,16.2,8,10,2022-01-13T07:34:44,2022-01-13T18:33:45,0.36,Partially cloudy,Clearing in the afternoon.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,14,2022,,81.2,44.7,63.6,79.3,44.7,63.4,34,39.1,0,0,0,,24.6,10.3,265.4,1016,0,11.6,182.8,15.9,7,10,2022-01-14T07:34:48,2022-01-14T18:34:25,0.39,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,15,2022,,80.7,50.3,63.7,78.9,50.3,63.6,43.4,53,0,0,0,,5.4,6.9,267.2,1014.3,2.4,11.1,189,16.2,7,10,2022-01-15T07:34:50,2022-01-15T18:35:06,0.43,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,16,2022,,74.7,46.5,61.3,74.7,46.5,61.3,34.9,40.5,0,0,0,,6.3,11.2,318.7,1016.1,46.2,11,204.4,17.6,7,10,2022-01-16T07:34:50,2022-01-16T18:35:47,0.46,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,17,2022,,77.3,48.1,61.7,77.3,48.1,61.7,43.5,55.5,0,0,0,,6,8.9,293.7,1016.7,17.1,11,221.2,19.1,8,10,2022-01-17T07:34:50,2022-01-17T18:36:27,0.5,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,18,2022,,79.1,48.2,62.2,79.1,48.2,62.2,40.4,53,0,0,0,,8.3,9.2,271.5,1015.2,43,11.3,197.5,16.9,8,10,2022-01-18T07:34:48,2022-01-18T18:37:08,0.53,Partially cloudy,Partly cloudy throughout the day.,"76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,19,2022,,77.4,42.7,61.1,77.4,42.7,61.1,31.9,41.2,0,0,0,,5.4,13.9,323.6,1016.8,67.7,11.9,169,14.6,8,10,2022-01-19T07:34:45,2022-01-19T18:37:48,0.56,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,20,2022,,75.3,46.5,60.8,75.3,46.5,60.8,30.8,36.1,0,0,0,,7.4,16.1,314.1,1016.7,92.4,10.2,105.8,9.2,5,10,2022-01-20T07:34:40,2022-01-20T18:38:28,0.6,Overcast,Cloudy skies throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,21,2022,,74.9,56,63.3,74.9,56,63.3,35.4,36.5,0,0,0,,11,12.8,292.3,1015,83,11.9,139.3,12,7,10,2022-01-21T07:34:34,2022-01-21T18:39:08,0.63,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,22,2022,,79.2,44.3,60.5,79.2,44.3,60.5,39,49.6,0,0,0,,15.2,10.1,210.4,1016.7,41.6,10.5,189.3,16.2,7,10,2022-01-22T07:34:27,2022-01-22T18:39:48,0.67,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,23,2022,,79.1,46.3,61.6,79.1,46.3,61.6,42.5,53.5,0,0,0,,12.3,18.3,268.3,1016.6,47,11.3,173.8,14.8,8,10,2022-01-23T07:34:19,2022-01-23T18:40:28,0.7,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,remote,F6804"
"Tequila, Mexico",1,24,2022,,72.1,50.1,60.6,72.1,50.1,60.6,44.7,60,0,0,0,,19,11.9,259.9,1014.6,73.8,13.1,119.1,10.2,8,10,2022-01-24T07:34:09,2022-01-24T18:41:07,0.74,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,remote,F6804"
"Tequila, Mexico",1,25,2022,,77.8,48.8,62.1,77.8,48.8,62.1,44.3,57.4,0,0,0,,14.1,10.7,285,1013.4,37.4,12.1,208,17.8,8,10,2022-01-25T07:33:58,2022-01-25T18:41:46,0.75,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,26,2022,,77.1,48.3,61.3,77.1,48.3,61.3,41.8,55.7,0,0,0,,11.9,9.2,291,1015,52.5,11.9,190,16.4,7,10,2022-01-26T07:33:45,2022-01-26T18:42:25,0.81,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,27,2022,,80.5,48.1,64,79.6,48.1,64,41.1,47.8,0,0,0,,13.6,10.7,288.5,1016.7,69.9,11.3,211.2,18,8,10,2022-01-27T07:33:32,2022-01-27T18:43:04,0.84,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,28,2022,,82.5,48.1,64.2,80,48.1,63.8,37.1,41.4,0,0,0,,5.4,5.6,291.3,1016,30.5,12.9,202.8,17.5,8,10,2022-01-28T07:33:16,2022-01-28T18:43:42,0.88,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,29,2022,,79.4,51.2,63.1,79.4,51.2,63.1,39.8,44.3,0,0,0,,24.6,8.9,9.1,1018.6,8.2,12.3,217.8,18.7,8,10,2022-01-29T07:33:00,2022-01-29T18:44:19,0.91,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,30,2022,,81.1,47.6,64,80,47.6,63.8,35,40.1,0,0,0,,14.5,12.8,295.6,1016.3,8.7,11.8,244.1,21.1,9,10,2022-01-30T07:32:43,2022-01-30T18:44:57,0.95,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",1,31,2022,,79.4,47,62.6,79.4,47,62.6,33,38.5,0,0,0,,26.8,11.2,285.4,1015.7,0.2,12.6,225.8,19.5,9,10,2022-01-31T07:32:24,2022-01-31T18:45:34,0,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,1,2022,,78.9,44.7,60.6,78.9,44.7,60.6,28.4,33.6,0,0,0,,29.1,19.7,286.8,1012.8,0,11.5,214.2,18.5,9,10,2022-02-01T07:32:04,2022-02-01T18:46:10,0.02,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,2,2022,,80.5,39.1,61.1,78.9,39.1,61.1,29.1,33.8,0,0,0,,16.8,13.2,272.9,1012.4,0,12,228.5,19.7,9,10,2022-02-02T07:31:42,2022-02-02T18:46:47,0.05,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,3,2022,,77.3,41.1,60.5,77.3,38,60.4,35.9,43.4,0,0,0,,24.6,12.8,265.6,1015.2,26.4,11.4,204.5,17.6,9,10,2022-02-03T07:31:20,2022-02-03T18:47:22,0.08,Partially cloudy,Becoming cloudy in the afternoon.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,4,2022,,78.2,46.3,62.6,78.2,46.3,62.6,39.8,46.8,0,0,0,,11,6.7,286.3,1016.9,41.3,12.2,203,17.3,9,10,2022-02-04T07:30:56,2022-02-04T18:47:58,0.11,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,5,2022,,79.1,51.2,62.5,79.1,51.2,62.5,39.6,46.2,0,0,0,,9.6,9.2,339.9,1018.1,28,12.1,203.7,17.5,9,10,2022-02-05T07:30:31,2022-02-05T18:48:32,0.15,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,6,2022,,80.3,48.3,63.3,79.1,48.3,63.3,39.9,49,0,0,0,,17.9,10.1,287.4,1016.4,35.1,11.9,234.5,20.1,9,10,2022-02-06T07:30:05,2022-02-06T18:49:07,0.18,Partially cloudy,Becoming cloudy in the afternoon.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,7,2022,,77.3,48.9,62.1,77.3,48.9,62.1,41.5,50.2,0,0,0,,17.7,11.4,284.7,1016.2,55.3,12.2,185.8,16,9,10,2022-02-07T07:29:38,2022-02-07T18:49:41,0.21,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,8,2022,,72.8,45,58.5,72.8,41.6,57.9,32.4,40.1,0,0,0,,6.9,8.1,33.1,1017.5,10.8,12.1,241.4,20.9,9,10,2022-02-08T07:29:09,2022-02-08T18:50:14,0.25,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,9,2022,,77.3,39.1,59.7,77.3,39.1,59.7,33.4,41.5,0,0,0,,11.4,9.8,264.8,1014.8,0,12.5,247.5,21.2,9,10,2022-02-09T07:28:40,2022-02-09T18:50:47,0.28,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,10,2022,,77.3,44.3,58.6,77.3,43.3,58.5,33.4,44.7,0,0,0,,20.1,9.2,276.2,1014.4,7.2,11.3,253.6,21.9,8,10,2022-02-10T07:28:09,2022-02-10T18:51:19,0.31,Clear,Clear conditions throughout the day.,"76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,11,2022,,75.1,43.8,58.3,75.1,43.8,58.3,33.1,43.6,0,0,0,,24.2,12.8,263.2,1014.2,1.9,12,223.9,19.3,9,10,2022-02-11T07:27:38,2022-02-11T18:51:51,0.34,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,12,2022,,73.8,46.1,59,73.8,46.1,58.9,32.5,43.1,0,0,0,,5.4,8.1,93.6,1017.2,16.8,11.9,211.3,18.1,9,10,2022-02-12T07:27:05,2022-02-12T18:52:23,0.37,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,13,2022,,75.1,48.1,61.1,75.1,46.2,61.1,32.6,35.1,0,0,0,,15.7,9.2,53,1020.1,81.1,11.2,142.3,12.1,6,10,2022-02-13T07:26:31,2022-02-13T18:52:54,0.4,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,14,2022,,79.6,56,65.5,79.6,56,65.5,38.6,38.6,0.028,100,4.17,rain,9.4,9.2,34.3,1018.2,77.4,9.9,201.3,17.5,8,10,2022-02-14T07:25:56,2022-02-14T18:53:24,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,15,2022,,81.9,46.5,65,79.7,46.5,64.7,41.1,47.3,0,0,0,,22.4,13.4,309.8,1017.3,19.4,11.3,237.7,20.4,9,10,2022-02-15T07:25:21,2022-02-15T18:53:54,0.47,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,16,2022,,81.1,49.7,65.2,79.3,49.7,64.9,40.5,45.8,0,0,0,,24.6,15,293.4,1017.8,2,11.8,246.3,21.2,9,10,2022-02-16T07:24:44,2022-02-16T18:54:24,0.5,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,17,2022,,83.4,47.9,65.6,80.7,47.9,65.2,38.6,42.9,0,0,0,,16.8,13.9,299.6,1017.2,4.5,11.4,256.3,22.1,9,10,2022-02-17T07:24:06,2022-02-17T18:54:53,0.54,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,18,2022,,85.4,46.5,66.4,82.2,46.5,65.7,36,38.1,0,0,0,,9.4,10.3,260.7,1015.1,9.8,11.5,221.3,19.1,9,10,2022-02-18T07:23:28,2022-02-18T18:55:21,0.57,Clear,Clear conditions throughout the day.,"76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,19,2022,,87.2,48.3,67.9,83.6,48.3,67.3,39.5,39.5,3.898,100,4.17,rain,12.1,7.4,277.2,1016.1,14.8,11,225.4,19.5,9,10,2022-02-19T07:22:48,2022-02-19T18:55:49,0.61,Rain,Clear conditions throughout the day with late afternoon rain.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,20,2022,,85,50.1,67.9,81.9,50.1,67.5,40.9,41.9,0.004,100,4.17,rain,11.2,13.9,295.8,1017.4,17.1,10.1,253.8,21.9,9,10,2022-02-20T07:22:08,2022-02-20T18:56:17,0.64,Rain,Clear conditions throughout the day with early morning rain.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2,21,2022,,85.4,50.1,66.7,82.6,50.1,66.3,40.5,41.9,0,0,0,,15.9,11.2,289.6,1016.6,12.3,10.6,241.7,20.9,8,10,2022-02-21T07:21:27,2022-02-21T18:56:44,0.68,Clear,Clear conditions throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
