title,Date20,YR2020,AC20,AP20,YR20,Date21,YR2021,AC21,AP21,YR21,YR2022,AC22,AP22,YR22,PATTL,PROJ23,ACT23
1937 Edicin Especial 80 Aniversario Aejo,1/1/2020,2020,94,89,92,1/1/2021,2021,99,83,91,2022,93,84,89,85.33333333,85,85
2012 Luna Nueva Reposado,1/1/2020,2020,85,89,87,1/1/2021,2021,#VALUE!,85,89,2022,#VALUE!,93,#VALUE!,89,89,89
21Seeds Cucumber Jalapeo,1/1/2020,2020,76,72,74,1/1/2021,2021,72,72,72,2022,77,68,73,70.66666667,71,70
21Seeds Grapefruit Hibiscus,1/1/2020,2020,77,71,74,1/1/2021,2021,81,67,74,2022,80,69,75,69,69,69
21Seeds Valencia Orange,1/1/2020,2020,82,67,75,1/1/2021,2021,81,66,74,2022,79,64,72,65.66666667,66,65
3 Magueyes Reposado,1/1/2020,2020,79,79,79,1/1/2021,2021,84,77,81,2022,81,81,81,79,79,79
374 Tequila Aejo,1/1/2020,2020,84,84,84,1/1/2021,2021,91,88,90,2022,80,85,83,85.66666667,86,85
374 Tequila Silver,1/1/2020,2020,83,79,81,1/1/2021,2021,81,80,81,2022,83,82,83,80.33333333,80,80
3R Blanco,1/1/2020,2020,67,73,70,1/1/2021,2021,72,73,73,2022,69,68,69,71.33333333,71,71
4 Copas Aejo,1/1/2020,2020,78,79,79,1/1/2021,2021,78,85,82,2022,75,77,76,80.33333333,80,80
4 Copas Blanco,1/1/2020,2020,79,77,78,1/1/2021,2021,77,82,80,2022,82,73,78,77.33333333,77,77
4 Copas Reposado,1/1/2020,2020,81,82,82,1/1/2021,2021,79,78,79,2022,81,89,85,83,83,83
4 Vidas Tequila Aejo,1/1/2020,2020,94,NA,#VALUE!,1/1/2021,2021,95,#VALUE!,#VALUE!,2022,93,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
4 Vidas Tequila Blanco,1/1/2020,2020,83,NA,#VALUE!,1/1/2021,2021,81,#VALUE!,#VALUE!,2022,82,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
4 Vidas Tequila Extra Aejo,1/1/2020,2020,95,NA,#VALUE!,1/1/2021,2021,89,#VALUE!,#VALUE!,2022,92,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
4 Vidas Tequila Reposado,1/1/2020,2020,95,NA,#VALUE!,1/1/2021,2021,104,#VALUE!,#VALUE!,2022,90,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
6 Degree Aejo,1/1/2020,2020,84,85,85,1/1/2021,2021,85,80,83,2022,85,88,87,84.33333333,84,84
6 Degree Reposado,1/1/2020,2020,83,83,83,1/1/2021,2021,83,88,86,2022,85,82,84,84.33333333,84,84
818 Tequila Aejo,1/1/2020,2020,67,NA,#VALUE!,1/1/2021,2021,63,#VALUE!,#VALUE!,2022,69,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
818 Tequila Blanco,1/1/2020,2020,62,61,62,1/1/2021,2021,61,65,63,2022,59,63,61,63,63,63
818 Tequila Reposado,1/1/2020,2020,66,53,60,1/1/2021,2021,67,52,60,2022,63,52,58,52.33333333,52,52
888 Aejo,1/1/2020,2020,80,89,85,1/1/2021,2021,80,89,85,2022,81,94,88,90.66666667,91,90
888 Reposado,1/1/2020,2020,77,88,83,1/1/2021,2021,78,85,82,2022,73,86,80,86.33333333,86,86
888 Silver,1/1/2020,2020,75,78,77,1/1/2021,2021,78,73,76,2022,75,81,78,77.33333333,77,77
901 Reposado,1/1/2020,2020,65,NA,#VALUE!,1/1/2021,2021,68,#VALUE!,#VALUE!,2022,69,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
901 Silver Tequila,1/1/2020,2020,65,67,66,1/1/2021,2021,64,71,68,2022,65,67,66,68.33333333,68,68
Abandonado Aejo,1/1/2020,2020,85,76,81,1/1/2021,2021,90,74,82,2022,80,73,77,74.33333333,74,74
Abandonado Extra Aejo,1/1/2020,2020,89,84,87,1/1/2021,2021,96,88,92,2022,84,80,82,84,84,84
Abandonado Reposado,1/1/2020,2020,80,50,65,1/1/2021,2021,82,51,67,2022,81,51,66,50.66666667,51,50
Abandonado Silver,1/1/2020,2020,80,80,80,1/1/2021,2021,85,79,82,2022,86,87,87,82,82,82
Abre Ojos Reposado,1/1/2020,2020,68,64,66,1/1/2021,2021,74,65,70,2022,72,63,68,64,64,64
Abre Ojos Silver,1/1/2020,2020,83,81,82,1/1/2021,2021,91,87,89,2022,90,79,85,82.33333333,82,82
Acre Largo Tequila Blanco,1/1/2020,2020,87,81,84,1/1/2021,2021,81,85,83,2022,81,83,82,83,83,83
Acumbaro Aejo,1/1/2020,2020,93,87,90,1/1/2021,2021,99,93,96,2022,91,94,93,91.33333333,91,91
Acumbaro Blanco,1/1/2020,2020,90,NA,#VALUE!,1/1/2021,2021,91,#VALUE!,#VALUE!,2022,85,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Acumbaro Reposado,1/1/2020,2020,83,NA,#VALUE!,1/1/2021,2021,81,#VALUE!,#VALUE!,2022,89,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Acumbaro Reposado No. 9,1/1/2020,2020,58,NA,#VALUE!,1/1/2021,2021,59,#VALUE!,#VALUE!,2022,56,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Adan y Eva Extra Aejo,1/1/2020,2020,84,NA,#VALUE!,1/1/2021,2021,83,#VALUE!,#VALUE!,2022,80,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Adictivo Tequila Aejo,1/1/2020,2020,81,65,73,1/1/2021,2021,89,63,76,2022,79,70,75,66,66,66
Adictivo Tequila Extra Aejo,1/1/2020,2020,84,67,76,1/1/2021,2021,88,66,77,2022,90,64,77,65.66666667,66,65
Adictivo Tequila Extra Aejo Black,1/1/2020,2020,86,75,81,1/1/2021,2021,88,77,83,2022,88,82,85,78,78,78
Adictivo Tequila Extra Aejo Cristalino,1/1/2020,2020,85,72,79,1/1/2021,2021,84,75,80,2022,80,70,75,72.33333333,72,72
Adictivo Tequila Plata,1/1/2020,2020,76,67,72,1/1/2021,2021,72,63,68,2022,74,73,74,67.66666667,68,67
Adictivo Tequila Plata (Cannabis),1/1/2020,2020,76,59,68,1/1/2021,2021,77,62,70,2022,72,59,66,60,60,60
Adictivo Tequila Reposado,1/1/2020,2020,78,64,71,1/1/2021,2021,81,68,75,2022,73,70,72,67.33333333,67,67
Adoro Tequila Reposado,1/1/2020,2020,84,NA,#VALUE!,1/1/2021,2021,91,#VALUE!,#VALUE!,2022,88,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Afamado Tequila Aejo,1/1/2020,2020,85,73,79,1/1/2021,2021,86,74,80,2022,86,70,78,72.33333333,72,72
Afamado Tequila Blanco,1/1/2020,2020,71,79,75,1/1/2021,2021,72,80,76,2022,73,76,75,78.33333333,78,78
Afamado Tequila Extra Aejo,1/1/2020,2020,88,75,82,1/1/2021,2021,88,74,81,2022,96,75,86,74.66666667,75,74
Afamado Tequila Reposado,1/1/2020,2020,80,68,74,1/1/2021,2021,87,68,78,2022,77,70,74,68.66666667,69,68
Agatha Blanco,1/1/2020,2020,87,71,79,1/1/2021,2021,83,76,80,2022,87,78,83,75,75,75
Agavales Blanco Tequila,1/1/2020,2020,72,74,73,1/1/2021,2021,68,69,69,2022,76,78,77,73.66666667,74,73
Agavales Plata Tequila,1/1/2020,2020,87,NA,#VALUE!,1/1/2021,2021,81,#VALUE!,#VALUE!,2022,84,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Agavales Reposado Tequila,1/1/2020,2020,79,80,80,1/1/2021,2021,79,79,79,2022,83,87,85,82,82,82
Agave 99 Aejo,1/1/2020,2020,73,84,79,1/1/2021,2021,78,84,81,2022,68,92,80,86.66666667,87,86
Agave 99 Reposado,1/1/2020,2020,74,81,78,1/1/2021,2021,73,85,79,2022,69,77,73,81,81,81
Agave 99 Silver,1/1/2020,2020,72,85,79,1/1/2021,2021,68,91,80,2022,69,90,80,88.66666667,89,88
Agave Boom Tequila Blanco,1/1/2020,2020,81,72,77,1/1/2021,2021,82,69,76,2022,80,70,75,70.33333333,70,70
Agave Leyva Aejo Tequila,1/1/2020,2020,81,NA,#VALUE!,1/1/2021,2021,78,#VALUE!,#VALUE!,2022,85,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Agave Loco Pepper Cured Tequila,1/1/2020,2020,67,NA,#VALUE!,1/1/2021,2021,64,#VALUE!,#VALUE!,2022,65,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Agave Underground Aejo,1/1/2020,2020,84,78,81,1/1/2021,2021,82,78,80,2022,90,77,84,77.66666667,78,77
Agave Underground Reposado,1/1/2020,2020,27,83,55,1/1/2021,2021,26,80,53,2022,29,91,60,84.66666667,85,84
Agave de Oro Reposado,1/1/2020,2020,78,79,79,1/1/2021,2021,82,75,79,2022,76,83,80,79,79,79
Agavemio Mango & Pineapple,1/1/2020,2020,89,NA,#VALUE!,1/1/2021,2021,86,#VALUE!,#VALUE!,2022,91,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Agavita Blanco,1/1/2020,2020,57,NA,#VALUE!,1/1/2021,2021,60,#VALUE!,#VALUE!,2022,60,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Aguamiel Tequila Blanco,1/1/2020,2020,83,83,83,1/1/2021,2021,85,79,82,2022,80,81,81,81,81,81
Aguascalientes Tequila Aejo,1/1/2020,2020,80,NA,#VALUE!,1/1/2021,2021,88,#VALUE!,#VALUE!,2022,82,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Aguila Aejo,1/1/2020,2020,75,78,77,1/1/2021,2021,73,83,78,2022,73,75,74,78.66666667,79,78
Aguila Real Plata,1/1/2020,2020,88,86,87,1/1/2021,2021,84,90,87,2022,93,88,91,88,88,88
Aguila Silver,1/1/2020,2020,93,81,87,1/1/2021,2021,88,86,87,2022,93,85,89,84,84,84
Agv 400 Aejo,1/1/2020,2020,85,84,85,1/1/2021,2021,90,87,89,2022,88,86,87,85.66666667,86,85
Agv 400 Blanco,1/1/2020,2020,78,81,80,1/1/2021,2021,84,82,83,2022,84,84,84,82.33333333,82,82
Agv 400 Reposado,1/1/2020,2020,77,84,81,1/1/2021,2021,84,85,85,2022,73,91,82,86.66666667,87,86
Aha Toro Aejo,1/1/2020,2020,81,71,76,1/1/2021,2021,88,68,78,2022,87,72,80,70.33333333,70,70
Aha Toro Blanco,1/1/2020,2020,75,70,73,1/1/2021,2021,72,70,71,2022,76,71,74,70.33333333,70,70
Aha Toro Diva,1/1/2020,2020,75,68,72,1/1/2021,2021,70,69,70,2022,76,69,73,68.66666667,69,68
Aha Toro Reposado,1/1/2020,2020,79,83,81,1/1/2021,2021,79,84,82,2022,85,80,83,82.33333333,82,82
Aha Toro Ultra Aged,1/1/2020,2020,65,67,66,1/1/2021,2021,70,66,68,2022,63,69,66,67.33333333,67,67
Aha Yeto Aejo,1/1/2020,2020,76,NA,#VALUE!,1/1/2021,2021,82,#VALUE!,#VALUE!,2022,73,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Aha Yeto Blanco,1/1/2020,2020,74,68,71,1/1/2021,2021,69,71,70,2022,73,70,72,69.66666667,70,69
Aha Yeto Extra Anejo Artesenal,1/1/2020,2020,82,83,83,1/1/2021,2021,80,89,85,2022,79,91,85,87.66666667,88,87
Aha Yeto Reposado,1/1/2020,2020,77,NA,#VALUE!,1/1/2021,2021,76,#VALUE!,#VALUE!,2022,79,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Alacran Blanco,1/1/2020,2020,77,70,74,1/1/2021,2021,84,68,76,2022,75,75,75,71,71,71
Alacran Cristal Aejo,1/1/2020,2020,81,64,73,1/1/2021,2021,78,61,70,2022,78,60,69,61.66666667,62,61
Alacran Reposado,1/1/2020,2020,78,67,73,1/1/2021,2021,75,66,71,2022,79,69,74,67.33333333,67,67
Alacran Tequila Limited Edition Pink Bottle,1/1/2020,2020,75,62,69,1/1/2021,2021,76,60,68,2022,79,67,73,63,63,63
Alacran XA,1/1/2020,2020,85,84,85,1/1/2021,2021,82,88,85,2022,92,89,91,87,87,87
Alamo Silver Tequila,1/1/2020,2020,83,80,82,1/1/2021,2021,82,80,81,2022,88,77,83,79,79,79
Alderete Aejo,1/1/2020,2020,83,86,85,1/1/2021,2021,81,89,85,2022,87,88,88,87.66666667,88,87
Alderete Blanco,1/1/2020,2020,83,85,84,1/1/2021,2021,84,83,84,2022,82,88,85,85.33333333,85,85
Alderete Reposado,1/1/2020,2020,78,83,81,1/1/2021,2021,74,80,77,2022,84,87,86,83.33333333,83,83
Aldez Organic Tequila Aejo,1/1/2020,2020,87,83,85,1/1/2021,2021,91,84,88,2022,87,79,83,82,82,82
Aldez Organic Tequila Blanco,1/1/2020,2020,85,86,86,1/1/2021,2021,81,82,82,2022,88,94,91,87.33333333,87,87
Aldez Organic Tequila Reposado,1/1/2020,2020,87,83,85,1/1/2021,2021,92,88,90,2022,92,86,89,85.66666667,86,85
Alicantes Pintos Tequila Blanco,1/1/2020,2020,83,76,80,1/1/2021,2021,83,74,79,2022,89,74,82,74.66666667,75,74
Alida Tequila Blanco,1/1/2020,2020,77,NA,#VALUE!,1/1/2021,2021,76,#VALUE!,#VALUE!,2022,83,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Alien Aejo,1/1/2020,2020,75,76,76,1/1/2021,2021,77,78,78,2022,77,73,75,75.66666667,76,75
Alien Reposado,1/1/2020,2020,74,83,79,1/1/2021,2021,77,81,79,2022,71,90,81,84.66666667,85,84
Alien Silver,1/1/2020,2020,56,68,62,1/1/2021,2021,58,71,65,2022,57,66,62,68.33333333,68,68
Alma Mia Aejo,1/1/2020,2020,91,NA,#VALUE!,1/1/2021,2021,100,#VALUE!,#VALUE!,2022,88,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Alma Mia Blanco,1/1/2020,2020,87,NA,#VALUE!,1/1/2021,2021,89,#VALUE!,#VALUE!,2022,89,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Alma Mia Reposado,1/1/2020,2020,90,NA,#VALUE!,1/1/2021,2021,96,#VALUE!,#VALUE!,2022,95,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Alma de Agave Aejo,1/1/2020,2020,78,75,77,1/1/2021,2021,84,77,81,2022,82,81,82,77.66666667,78,77
Alma de Agave Reposado,1/1/2020,2020,80,81,81,1/1/2021,2021,79,82,81,2022,85,87,86,83.33333333,83,83
Alma de Agave Silver,1/1/2020,2020,79,76,78,1/1/2021,2021,78,82,80,2022,82,82,82,80,80,80
Aman Tequila Blanco,1/1/2020,2020,78,75,77,1/1/2021,2021,81,70,76,2022,79,76,78,73.66666667,74,73
Amanecer Ranchero Reposado,1/1/2020,2020,100,73,87,1/1/2021,2021,110,71,91,2022,93,78,86,74,74,74
Amate Aejo,1/1/2020,2020,76,75,76,1/1/2021,2021,72,78,75,2022,77,77,77,76.66666667,77,76
Amate Reposado,1/1/2020,2020,76,78,77,1/1/2021,2021,73,73,73,2022,83,79,81,76.66666667,77,76
Amate Silver,1/1/2020,2020,75,72,74,1/1/2021,2021,75,69,72,2022,78,69,74,70,70,70
Amatitea Tequila Aejo,1/1/2020,2020,89,88,89,1/1/2021,2021,95,84,90,2022,97,83,90,85,85,85
Amatitea Tequila Blanco,1/1/2020,2020,85,84,85,1/1/2021,2021,93,80,87,2022,80,85,83,83,83,83
Amatitea Tequila Blanco Origen,1/1/2020,2020,87,88,88,1/1/2021,2021,87,83,85,2022,85,85,85,85.33333333,85,85
Amatitea Tequila Reposado,1/1/2020,2020,86,86,86,1/1/2021,2021,82,88,85,2022,94,91,93,88.33333333,88,88
Amatitlan Tequila Blanco,1/1/2020,2020,77,72,75,1/1/2021,2021,84,68,76,2022,77,79,78,73,73,73
Ambar Blanco,1/1/2020,2020,77,NA,#VALUE!,1/1/2021,2021,79,#VALUE!,#VALUE!,2022,82,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ambhar Aejo,1/1/2020,2020,76,80,78,1/1/2021,2021,81,79,80,2022,71,84,78,81,81,81
Ambhar Extra Aejo,1/1/2020,2020,87,NA,#VALUE!,1/1/2021,2021,82,#VALUE!,#VALUE!,2022,81,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ambhar Plata,1/1/2020,2020,75,77,76,1/1/2021,2021,81,76,79,2022,71,74,73,75.66666667,76,75
Ambhar Reposado,1/1/2020,2020,72,76,74,1/1/2021,2021,70,73,72,2022,74,82,78,77,77,77
Amero Blanco Krystal,1/1/2020,2020,75,73,74,1/1/2021,2021,81,74,78,2022,74,68,71,71.66666667,72,71
Amigo Tequilero Blanco Platinum,1/1/2020,2020,87,74,81,1/1/2021,2021,87,76,82,2022,83,71,77,73.66666667,74,73
Amigo bf4e Reposado,1/1/2020,2020,79,85,82,1/1/2021,2021,79,82,81,2022,81,93,87,86.66666667,87,86
Amor Eterno Plata,1/1/2020,2020,NA,70,#VALUE!,1/1/2021,2021,#VALUE!,75,#VALUE!,2022,#VALUE!,71,#VALUE!,72,72,72
Amor Indio Aejo Cristalino,1/1/2020,2020,85,75,80,1/1/2021,2021,85,73,79,2022,81,72,77,73.33333333,73,73
Amor Indio Extra Aejo,1/1/2020,2020,81,78,80,1/1/2021,2021,82,73,78,2022,78,84,81,78.33333333,78,78
Amor Indio Tequila Aejo,1/1/2020,2020,86,84,85,1/1/2021,2021,81,80,81,2022,89,86,88,83.33333333,83,83
Amor Indio Tequila Blanco,1/1/2020,2020,77,85,81,1/1/2021,2021,76,81,79,2022,75,80,78,82,82,82
Amor Indio Tequila Reposado,1/1/2020,2020,78,87,83,1/1/2021,2021,76,89,83,2022,73,95,84,90.33333333,90,90
Amor Mo Aejo,1/1/2020,2020,84,82,83,1/1/2021,2021,89,86,88,2022,84,87,86,85,85,85
Amor Mo Blanco,1/1/2020,2020,83,81,82,1/1/2021,2021,89,85,87,2022,83,82,83,82.66666667,83,82
Amor Mo Blanco Ceramic Bottle,1/1/2020,2020,77,80,79,1/1/2021,2021,78,77,78,2022,73,83,78,80,80,80
Amor Mo Extra Aejo Ceramic Bottle,1/1/2020,2020,87,85,86,1/1/2021,2021,93,87,90,2022,89,83,86,85,85,85
Amor Mo Reposado,1/1/2020,2020,85,66,76,1/1/2021,2021,93,64,79,2022,87,66,77,65.33333333,65,65
Amorada Tequila Aejo,1/1/2020,2020,81,84,83,1/1/2021,2021,79,86,83,2022,80,82,81,84,84,84
Amorada Tequila Blanco,1/1/2020,2020,83,NA,#VALUE!,1/1/2021,2021,85,#VALUE!,#VALUE!,2022,82,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Amorada Tequila Reposado,1/1/2020,2020,84,81,83,1/1/2021,2021,90,79,85,2022,81,87,84,82.33333333,82,82
Ancestra Blanco Fuerte,1/1/2020,2020,NA,88,#VALUE!,1/1/2021,2021,#VALUE!,92,#VALUE!,2022,#VALUE!,85,#VALUE!,88.33333333,88,88
Ancestra Reposado Extra Suave,1/1/2020,2020,66,87,77,1/1/2021,2021,69,83,76,2022,63,95,79,88.33333333,88,88
Ancestra Single Barrel Aejo,1/1/2020,2020,NA,84,#VALUE!,1/1/2021,2021,#VALUE!,85,#VALUE!,2022,#VALUE!,91,#VALUE!,86.66666667,87,86
Ancestra Single Barrel Reposado,1/1/2020,2020,NA,86,#VALUE!,1/1/2021,2021,#VALUE!,81,#VALUE!,2022,#VALUE!,84,#VALUE!,83.66666667,84,83
Angel Bendito Extra Aejo,1/1/2020,2020,NA,NA,#VALUE!,1/1/2021,2021,#VALUE!,#VALUE!,#VALUE!,2022,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Angel Bendito Extra Aejo Ceramic,1/1/2020,2020,NA,NA,#VALUE!,1/1/2021,2021,#VALUE!,#VALUE!,#VALUE!,2022,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Angelisco Blanco,1/1/2020,2020,82,79,81,1/1/2021,2021,77,81,79,2022,89,80,85,80,80,80
Angelisco Reposado,1/1/2020,2020,81,78,80,1/1/2021,2021,78,75,77,2022,77,83,80,78.66666667,79,78
Anger Mgmt Tequila Reposado,1/1/2020,2020,86,81,84,1/1/2021,2021,81,87,84,2022,90,87,89,85,85,85
Anger Mgmt Tequila Silver,1/1/2020,2020,85,79,82,1/1/2021,2021,93,77,85,2022,88,82,85,79.33333333,79,79
Antigua Cruz Reposado,1/1/2020,2020,70,78,74,1/1/2021,2021,66,84,75,2022,68,81,75,81,81,81
Antigua Cruz Silver,1/1/2020,2020,66,69,68,1/1/2021,2021,70,68,69,2022,66,69,68,68.66666667,69,68
Antiguo de Herradura Aejo,1/1/2020,2020,81,73,77,1/1/2021,2021,86,74,80,2022,76,77,77,74.66666667,75,74
Antiguo de Herradura Blanco,1/1/2020,2020,67,66,67,1/1/2021,2021,68,71,70,2022,73,70,72,69,69,69
Antiguo de Herradura Reposado,1/1/2020,2020,79,72,76,1/1/2021,2021,77,76,77,2022,82,74,78,74,74,74
Apocalypto Tequila Aejo,1/1/2020,2020,70,NA,#VALUE!,1/1/2021,2021,73,#VALUE!,#VALUE!,2022,70,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Apocalypto Tequila Blanco,1/1/2020,2020,71,NA,#VALUE!,1/1/2021,2021,70,#VALUE!,#VALUE!,2022,69,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Apocalypto Tequila Reposado,1/1/2020,2020,74,74,74,1/1/2021,2021,79,75,77,2022,70,75,73,74.66666667,75,74
AquaRiva Premium Tequila Reposado,1/1/2020,2020,77,88,83,1/1/2021,2021,81,94,88,2022,74,91,83,91,91,91
AquaRiva Reposado Handmade Tequila,1/1/2020,2020,72,NA,#VALUE!,1/1/2021,2021,75,#VALUE!,#VALUE!,2022,68,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AquaRiva Tequila Blanco,1/1/2020,2020,78,NA,#VALUE!,1/1/2021,2021,80,#VALUE!,#VALUE!,2022,82,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Arco del Cabo Blanco,1/1/2020,2020,76,68,72,1/1/2021,2021,76,66,71,2022,72,74,73,69.33333333,69,69
Arenas Aejo Tequila,1/1/2020,2020,NA,76,#VALUE!,1/1/2021,2021,#VALUE!,76,#VALUE!,2022,#VALUE!,81,#VALUE!,77.66666667,78,77
Arenas Blanco Tequila,1/1/2020,2020,71,80,76,1/1/2021,2021,71,85,78,2022,76,84,80,83,83,83
Arenas Reposado Tequila,1/1/2020,2020,NA,82,#VALUE!,1/1/2021,2021,#VALUE!,80,#VALUE!,2022,#VALUE!,88,#VALUE!,83.33333333,83,83
Arette Aejo,1/1/2020,2020,83,87,85,1/1/2021,2021,78,82,80,2022,82,82,82,83.66666667,84,83
Arette Artesenal Aejo Suave,1/1/2020,2020,84,85,85,1/1/2021,2021,85,82,84,2022,91,88,90,85,85,85
Arette Artesenal Blanco Suave,1/1/2020,2020,85,85,85,1/1/2021,2021,90,87,89,2022,85,87,86,86.33333333,86,86
Arette Artesenal Reposado Suave,1/1/2020,2020,83,83,83,1/1/2021,2021,78,88,83,2022,82,88,85,86.33333333,86,86
Arette Blanco,1/1/2020,2020,80,82,81,1/1/2021,2021,76,77,77,2022,84,79,82,79.33333333,79,79
Arette Fuerte 101 Blanco,1/1/2020,2020,85,86,86,1/1/2021,2021,86,83,85,2022,93,83,88,84,84,84
Arette Fuerte Artesanal 101 Blanco,1/1/2020,2020,86,87,87,1/1/2021,2021,88,88,88,2022,84,91,88,88.66666667,89,88
